county_fips,YEAR,SEX,AGE,unemployed,med_inc,pop
1000,2007,1.5288067599863435,48.1809491293957,3.290372140662342,17000.0,2149584.0
1000,2011,1.522652310725253,48.96618265913485,5.713310838988512,15800.0,2250941.0
1000,2015,1.5239718414227492,49.64927751018896,3.6087439792515745,18000.0,2438898.0
1000,2019,1.5247813411078717,50.15459005902012,2.279030078930527,21555.0,2464639.0
10001,2007,1.535064935064935,45.457142857142856,2.943722943722944,22300.0,124513.0
10001,2011,1.5344827586206897,47.63322884012539,5.956112852664576,21050.0,131929.0
10001,2015,1.529641185647426,48.45475819032761,3.43213728549142,24000.0,140104.0
10001,2019,1.532258064516129,48.84101382488479,3.0721966205837172,27000.0,145429.0
10003,2007,1.5358707557502738,45.80859802847755,3.313253012048193,26900.0,422642.0
10003,2011,1.5362694300518134,46.53862458784739,5.322656617993406,25350.0,440240.0
10003,2015,1.524197412553905,47.38428366075707,3.5936751317680886,27650.0,455996.0
10003,2019,1.5195960567444098,48.825198364991586,2.476556864630921,35000.0,461826.0
10005,2007,1.5161290322580645,51.853415559772294,2.7514231499051234,24000.0,151021.0
10005,2011,1.5300101729399798,52.80162767039675,4.628687690742624,24000.0,166225.0
10005,2015,1.5313827277017462,56.29117508258613,2.8315243039169418,25000.0,180459.0
10005,2019,1.5107070707070707,56.65131313131313,1.6969696969696972,31600.0,198504.0
1003,2007,1.5194585448392555,48.20558375634518,2.284263959390863,22000.0,140266.0
1003,2011,1.5141657922350473,49.43546694648479,4.616998950682056,19900.0,150677.0
1003,2015,1.5025641025641026,52.22649572649573,2.307692307692308,24000.0,166643.0
1003,2019,1.5073929961089494,52.842801556420234,2.0233463035019454,25300.0,185749.0
1015,2007,1.537117903930131,46.61353711790393,5.131004366812228,16350.0,92541.0
1015,2011,1.5381165919282511,47.110986547085204,5.829596412556054,14450.0,95231.0
1015,2015,1.5367561260210034,48.694282380396736,5.717619603267211,16500.0,94708.0
1015,2019,1.509478672985782,49.56398104265403,3.909952606635071,20900.0,93886.0
1055,2007,1.5243243243243243,49.09081081081081,3.135135135135135,17000.0,82111.0
1055,2011,1.5089285714285714,49.754464285714285,3.7946428571428568,14300.0,85249.0
1055,2015,1.514654161781946,49.51934349355217,2.5791324736225087,18000.0,84315.0
1055,2019,1.5301775147928993,52.633136094674555,2.9585798816568047,20000.0,83304.0
1073,2007,1.540199470791777,46.75005088540607,3.907999185833503,20000.0,534917.0
1073,2011,1.541233694450586,47.81782003095291,6.2347999115631225,16840.0,529754.0
1073,2015,1.537980146741476,48.31506258092361,3.9922313336210618,20740.0,533564.0
1073,2019,1.534923339011925,49.48168654173765,2.5340715502555367,23050.0,533835.0
1081,2007,1.5138004246284502,40.983722576079266,3.1847133757961785,20000.0,106003.0
1081,2011,1.5342624854819977,38.850174216027874,4.994192799070848,10300.0,117108.0
1081,2015,1.5181451612903225,41.52116935483871,3.5282258064516134,15500.0,128401.0
1081,2019,1.536764705882353,45.5453431372549,1.9607843137254901,22000.0,136089.0
1097,2007,1.5455791638108294,47.047978067169296,3.8039753255654554,16600.0,315892.0
1097,2011,1.5351043643263758,47.78178368121442,6.672991777356104,16650.0,329948.0
1097,2015,1.536016232668245,49.13763949949273,3.3818058843422385,18000.0,333177.0
1097,2019,1.5391476709613479,49.93954410307235,3.006276841757516,21600.0,332248.0
11001,2007,1.542158516020236,44.29258010118044,4.279089376053963,30000.0,492989.0
11001,2011,1.5467612809315867,43.40665938864629,6.695778748180495,29900.0,530180.0
11001,2015,1.5364319412895335,43.31032675170365,4.368338284116722,38800.0,569380.0
11001,2019,1.539437585733882,43.075788751714676,3.5493827160493825,52000.0,593790.0
1117,2007,1.5248655913978495,45.03763440860215,2.620967741935484,30000.0,141883.0
1117,2011,1.531615925058548,45.63387978142077,5.07416081186573,24900.0,155785.0
1117,2015,1.522397476340694,46.87634069400631,1.9558359621451102,28800.0,167116.0
1117,2019,1.5289256198347108,48.79988193624557,1.8890200708382525,31000.0,176359.0
1125,2007,1.5489795918367346,43.64625850340136,2.9931972789115644,18900.0,140950.0
1125,2011,1.5347269049224546,43.940660822656774,5.731625084288605,16000.0,162036.0
12000,2007,1.5168125520268396,47.33905103044674,3.465933456095654,18300.0,4072356.0
12000,2011,1.507574370709382,48.35711670480549,6.9588100686498855,15000.0,4352004.0
12000,2015,1.5131456922934248,50.42750162292497,3.347862375962163,18000.0,4406767.0
12000,2019,1.5103125340302734,51.61842535119242,2.1714036807143637,22000.0,4585133.0
12001,2007,1.5205152671755726,42.583492366412216,2.6240458015267176,18000.0,203729.0
12001,2011,1.5428816466552315,43.74656946826758,4.802744425385934,17200.0,212295.0
12001,2015,1.5315161839863713,42.9778534923339,2.6405451448040886,18000.0,220876.0
12001,2019,1.5354330708661417,43.76640419947507,2.3622047244094486,22000.0,229084.0
12005,2007,1.5150159744408946,47.322683706070286,3.0670926517571884,23500.0,131897.0
12005,2011,1.5061391541609823,48.94542974079127,5.5934515688949515,20000.0,138823.0
12009,2007,1.5246295554665599,51.0152182619143,3.5442531037244693,22625.0,452291.0
12009,2011,1.5155658392932267,52.13525452250736,6.689103912494741,20500.0,459062.0
