,Unnamed: 0,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,EMPSTAT,EMPSTATD,INCTOT,unemployed
7883714,7883714,2015,201501,239333,123242.0,62.0,2015002393331,9,9.0,90509,1,1,62.0,1,38,11,114,1,10,104000,0
11939954,11939954,2019,201901,654804,2019000209233.0,63.0,2019006548041,26,0.0,140026,1,2,54.0,1,49,10,101,1,10,100000,0
12473753,12473753,2019,201901,891963,2019000832557.0,204.0,2019008919631,36,61.0,380536,1,1,203.0,2,34,8,81,1,10,230000,0
11419840,11419840,2019,201901,417920,2019000336923.0,208.0,2019004179201,16,0.0,40016,1,2,140.0,2,54,10,101,1,10,75000,0
10317770,10317770,2015,201501,1317018,494838.0,59.0,2015013170181,53,53.0,1150553,1,5,95.0,1,62,6,63,3,30,60200,0
8122887,8122887,2015,201501,349095,1483116.0,68.0,2015003490951,12,99.0,991112,1,1,68.0,1,37,6,63,1,10,12020,0
12287951,12287951,2019,201901,809437,2019000681039.0,78.0,2019008094371,34,25.0,110334,1,2,87.0,1,43,8,81,1,10,10900,0
3729221,3729221,2007,200701,1155709,161580.0,115.0,2007011557091,48,113.0,231148,1,3,240.0,1,40,2,24,3,30,6000,0
3054304,3054304,2007,200701,840158,577347.0,77.0,2007008401581,36,27.0,320236,1,1,77.0,2,27,6,65,3,30,4000,0
2883015,2883015,2007,200701,763596,193821.0,65.0,2007007635961,34,27.0,150434,1,1,63.0,2,37,11,115,3,30,0,0
5347073,5347073,2011,201101,498941,1306771.0,291.0,2011004989411,19,0.0,180019,1,2,289.0,1,49,7,71,1,10,70000,0
12960237,12960237,2019,201901,1112503,2019001049656.0,71.0,2019011125031,42,0.0,400242,1,1,71.0,1,36,6,64,1,10,83000,0
13397433,13397433,2019,201901,1301336,2019001384565.0,67.0,2019013013361,48,135.0,310048,1,2,96.0,2,53,6,63,1,10,40000,0
4894832,4894832,2011,201101,297872,659583.0,59.0,2011002978721,12,95.0,220412,1,1,59.0,1,46,7,71,1,14,70000,0
6171052,6171052,2011,201101,864600,1064145.0,103.0,2011008646001,36,0.0,120036,1,1,103.0,1,51,7,71,1,10,60000,0
9558844,9558844,2015,201501,986514,1266267.0,100.0,2015009865141,39,0.0,230039,1,1,100.0,1,47,6,63,1,10,36300,0
9827039,9827039,2015,201501,1108873,1050047.0,87.0,2015011088731,45,0.0,140045,1,1,87.0,2,61,6,65,1,10,31504,0
13417708,13417708,2019,201901,1309186,2019000645262.0,193.0,2019013091861,49,57.0,5700149,1,1,193.0,1,55,11,114,1,10,105130,0
